Year,Country,Total
2010,Australia,NA
2010,Austria,191
2010,Belgium,504
2010,Canada,2437
2010,Czechia,103
2010,Denmark,296
2010,Estonia,11
2010,Finland,226
2010,France,NA
2010,Germany,1426
2010,Greece,NA
2010,Hungary,35
2010,Ireland,683
2010,Israel,377
2010,Italy,149
2010,South Korea,1
2010,Latvia,39
2010,Lithuania,NA
2010,Netherlands,226
2010,New Zealand,1168
2010,Norway,1309
2010,Poland,60
2010,Slovenia,76
2010,Spain,6800
2010,Sweden,810
2010,Switzerland,1892
2010,United Kingdom,5945
2010,United States of America,7318
2011,Australia,NA
2011,Austria,179
2011,Belgium,665
2011,Canada,2532
2011,Czechia,158
2011,Denmark,238
2011,Estonia,20
2011,Finland,244
2011,France,1490
2011,Germany,1900
2011,Greece,NA
2011,Hungary,51
2011,Ireland,855
2011,Israel,539
2011,Italy,129
2011,South Korea,1
2011,Latvia,16
2011,Lithuania,NA
2011,Netherlands,158
2011,New Zealand,1218
2011,Norway,1300
2011,Poland,70
2011,Slovenia,129
2011,Spain,5525
2011,Sweden,739
2011,Switzerland,2015
2011,United Kingdom,5189
2011,United States of America,7211
2012,Australia,NA
2012,Austria,196
2012,Belgium,684
2012,Canada,2754
2012,Czechia,195
2012,Denmark,184
2012,Estonia,19
2012,Finland,227
2012,France,1357
2012,Germany,2225
2012,Greece,77
2012,Hungary,78
2012,Ireland,783
2012,Israel,527
2012,Italy,134
2012,South Korea,2
2012,Latvia,25
2012,Lithuania,NA
2012,Netherlands,177
2012,New Zealand,1145
2012,Norway,1603
2012,Poland,79
2012,Slovenia,68
2012,Spain,3491
2012,Sweden,754
2012,Switzerland,2179
2012,United Kingdom,5951
2012,United States of America,7325
2013,Australia,NA
2013,Austria,224
2013,Belgium,481
2013,Canada,2948
2013,Czechia,210
2013,Denmark,198
2013,Estonia,24
2013,Finland,260
2013,France,1419
2013,Germany,1964
2013,Greece,83
2013,Hungary,54
2013,Ireland,832
2013,Israel,598
2013,Italy,98
2013,South Korea,3
2013,Latvia,25
2013,Lithuania,NA
2013,Netherlands,93
2013,New Zealand,1063
2013,Norway,2310
2013,Poland,137
2013,Slovenia,36
2013,Spain,2432
2013,Sweden,864
2013,Switzerland,2519
2013,United Kingdom,5459
2013,United States of America,6475
2014,Australia,2685
2014,Austria,263
2014,Belgium,558
2014,Canada,2899
2014,Czechia,221
2014,Denmark,283
2014,Estonia,21
2014,Finland,225
2014,France,1615
2014,Germany,1730
2014,Greece,78
2014,Hungary,82
2014,Ireland,871
2014,Israel,648
2014,Italy,60
2014,South Korea,6
2014,Latvia,6
2014,Lithuania,6
2014,Netherlands,137
2014,New Zealand,947
2014,Norway,1304
2014,Poland,157
2014,Slovenia,29
2014,Spain,2439
2014,Sweden,940
2014,Switzerland,2123
2014,United Kingdom,5939
2014,United States of America,6564
2015,Australia,2717
2015,Austria,242
2015,Belgium,566
2015,Canada,2849
2015,Czechia,241
2015,Denmark,282
2015,Estonia,29
2015,Finland,213
2015,France,1568
2015,Germany,1530
2015,Greece,79
2015,Hungary,133
2015,Ireland,1777
2015,Israel,777
2015,Italy,89
2015,South Korea,6
2015,Latvia,3
2015,Lithuania,5
2015,Netherlands,161
2015,New Zealand,854
2015,Norway,1281
2015,Poland,104
2015,Slovenia,37
2015,Spain,1383
2015,Sweden,723
2015,Switzerland,2183
2015,United Kingdom,4980
2015,United States of America,6594
2016,Australia,2726
2016,Austria,225
2016,Belgium,500
2016,Canada,2998
2016,Czechia,258
2016,Denmark,267
2016,Estonia,21
2016,Finland,198
2016,France,1387
2016,Germany,1430
2016,Greece,98
2016,Hungary,109
