Entity,Year,GDP per capita
Albania,2010,9222.973
Australia,2010,45400.223
Albania,2011,9484
Albania,2012,9634.334
Albania,2013,9748.728
Albania,2014,9942.276
Albania,2015,10192.529
Albania,2016,10547.255
Albania,2017,10958.307
Albania,2018,11426.92
Albania,2019,11715.307
Albania,2020,11372.541
Albania,2021,12455.917
Albania,2022,12978.101
Armenia,2010,8330.812
Armenia,2011,8465
Armenia,2012,9076.433
Armenia,2013,9395.087
Armenia,2014,9745.136
Armenia,2015,10076.352
Armenia,2016,10113.051
Armenia,2017,10894.957
Armenia,2018,11490.369
Armenia,2019,12399.231
Armenia,2020,11546.176
Armenia,2021,12242.478
Armenia,2022,13837.577
Australia,2011,46132
Australia,2012,47045.13
Australia,2013,47260.953
Australia,2014,47753.848
Australia,2015,48145.53
Australia,2016,48675.137
Australia,2017,49001.902
Australia,2018,49614.387
Australia,2019,49814.67
Australia,2020,48268.945
Australia,2021,50704.934
Australia,2022,52049.43
Austria,2007,40305.273
Austria,2010,40288.348
Austria,2011,41446
Austria,2012,41540.94
Austria,2013,41301.94
Austria,2014,41250.508
Austria,2015,41255.715
Austria,2016,41545.5
Austria,2017,42216.918
Austria,2018,43032.215
Austria,2019,43488.668
Austria,2020,40503.04
Austria,2021,42184.695
Austria,2022,43792.855
Belgium,2010,37739.33
Belgium,2011,38130
Belgium,2012,38173.234
Belgium,2013,38169.832
Belgium,2014,38599.426
Belgium,2015,39160.324
Belgium,2016,39456.863
Belgium,2017,39940.824
Belgium,2018,40471.914
Belgium,2019,41155.527
Belgium,2020,38763.44
Belgium,2021,40970.805
Belgium,2022,41872.395
Bulgaria,2010,14686.461
Bulgaria,2011,15112
Bulgaria,2012,15314.524
Bulgaria,2013,15314.154
Bulgaria,2014,15550.346
Bulgaria,2015,16186.409
Bulgaria,2016,16795.824
Bulgaria,2017,17386.271
Bulgaria,2018,17982.424
Bulgaria,2019,18840.764
Bulgaria,2020,18203.832
Bulgaria,2021,19753.994
Bulgaria,2022,20592.455
Canada,2010,41209.426
Canada,2011,42197
Canada,2012,42476.344
Canada,2013,43008.83
Canada,2014,43800.64
Canada,2015,43761.527
Canada,2016,43702.08
Canada,2017,44493.652
Canada,2018,45087.887
Canada,2019,45284.215
Canada,2020,42493.63
Canada,2021,44379.594
Canada,2022,45529.645
Croatia,2010,19511.35
Croatia,2011,19813
Croatia,2012,19413.893
Croatia,2013,19402.938
Croatia,2014,19403.594
Croatia,2015,20025.754
Croatia,2016,20915.227
Croatia,2017,21852.021
Croatia,2018,22678.035
Croatia,2019,23590.277
Croatia,2020,21672.479
Croatia,2021,25059.947
Croatia,2022,26986.752
Denmark,2010,42932.4
Denmark,2011,43575
Denmark,2012,43509.613
Denmark,2013,43743.61
Denmark,2014,44215.633
Denmark,2015,44940.887
Denmark,2016,46018.984
Denmark,2017,47022.01
Denmark,2018,47717.457
Denmark,2019,48238.656
Denmark,2020,47171.086
Denmark,2021,49258.75
Denmark,2022,50689.68
Estonia,2010,20713.426
Estonia,2011,21997
Estonia,2012,22784.3
Estonia,2013,23204.111
Estonia,2014,23982.828
Estonia,2015,24473.66
Estonia,2016,25196.154
Estonia,2017,26661.627
Estonia,2018,27596.41
Estonia,2019,28505.604
Estonia,2020,28261.582
Estonia,2021,30499.156
Estonia,2022,30067.395
Finland,2010,37615.113
Finland,2011,38432
Finland,2012,37715.01
Finland,2013,37203.145
Finland,2014,36907.92
Finland,2015,36986.7
Finland,2016,37924.152
Finland,2017,39043.19
Finland,2018,39430.906
Finland,2019,39874.8
Finland,2020,38871.703
Finland,2021,39977.855
Finland,2022,40701.465
France,2010,36086.727
France,2011,36691
France,2012,36625.926
France,2013,36647.22
France,2014,36818.54
France,2015,37077.89
France,2016,37343.84
France,2017,38037.336
France,2018,38555.465
France,2019,39084.656
France,2020,35913.82
France,2021,38242.133
France,2022,39065.71
Georgia,2010,8443.437
Georgia,2011,8946
Georgia,2012,9497.121
Georgia,2013,9856.679
Georgia,2014,10307.604
Georgia,2015,10629.594
Georgia,2016,10945.466
Georgia,2017,11479.426
Georgia,2018,12035.715
Georgia,2019,12631.664
Georgia,2020,11770.782
Georgia,2021,12994.772
Georgia,2022,14360.359
Germany,2010,41109.582
Germany,2011,43189
Germany,2012,43288.32
Germany,2013,43359.137
Germany,2014,44132.758
Germany,2015,44405.168
Germany,2016,45030.47
Germany,2017,46065.1
Germany,2018,46377.39
Germany,2019,46761.945
Germany,2020,44996.43
Germany,2021,46159.05
Germany,2022,46647.793
Greece,2010,26517.465
Greece,2011,24349
Greece,2012,22746.207
Greece,2013,22335.27
Greece,2014,22591.598
Greece,2015,22696.203
Greece,2016,22679.81
Greece,2017,22972.889
Greece,2018,23403.611
Greece,2019,23869.793
Greece,2020,21767.22
Greece,2021,23732.201
Greece,2022,25283.906
Hungary,2010,20036.334
Hungary,2011,20886
Hungary,2012,20731.67
Hungary,2013,21163.564
Hungary,2014,22118.75
Hungary,2015,22993.375
Hungary,2016,23568.926
Hungary,2017,24641.197
Hungary,2018,25995.51
Hungary,2019,27272.312
Hungary,2020,26091.4
Hungary,2021,28085.963
Hungary,2022,29451.855
Iceland,2010,36272.688
Iceland,2011,36740
Iceland,2012,36933.895
Iceland,2013,38245.496
Iceland,2014,38463.027
Iceland,2015,39756.527
Iceland,2016,41682.867
Iceland,2017,42419.383
Iceland,2018,43321.062
Iceland,2019,43136.605
Iceland,2020,39368.4
Iceland,2021,40412.617
Iceland,2022,42145.594
India,2010,4525.7456
India,2011,4768
India,2012,4982.083
India,2013,5224.1445
India,2014,5524.1147
India,2015,5869.8467
India,2016,6326.0645
India,2017,6638.7275
India,2018,7046.4365
India,2019,7293.9897
India,2020,6730.547
India,2021,7315.1216
India,2022,7765.593
Ireland,2010,48623.81
Ireland,2011,48980
Ireland,2012,47360.09
Ireland,2013,48181.234
Ireland,2014,50732.348
Ireland,2015,53196.598
Ireland,2016,53686.844
Ireland,2017,55465.652
Ireland,2018,58083.45
Ireland,2019,59733.91
Ireland,2020,55134.855
Ireland,2021,57278.42
Ireland,2022,60257.082
Israel,2010,28575.531
Israel,2011,29370
Israel,2012,29580.836
Israel,2013,30316.602
Israel,2014,30906.148
Israel,2015,31050.408
Israel,2016,31822.875
Israel,2017,32549.818
Israel,2018,33227.125
Israel,2019,33951.89
